Continent Code,id,Country
AS,4,"Afghanistan, Islamic Republic of"
EU,8,"Albania, Republic of"
AN,10,Antarctica (the territory South of 60 deg S)
AF,12,"Algeria, People's Democratic Republic of"
OC,16,American Samoa
EU,20,"Andorra, Principality of"
AF,24,"Angola, Republic of"
NA,28,Antigua and Barbuda
AS,31,"Azerbaijan, Republic of"
EU,31,"Azerbaijan, Republic of"
SA,32,"Argentina, Argentine Republic"
OC,36,"Australia, Commonwealth of"
EU,40,"Austria, Republic of"
NA,44,"Bahamas, Commonwealth of the"
AS,48,"Bahrain, Kingdom of"
AS,50,"Bangladesh, People's Republic of"
AS,51,"Armenia, Republic of"
EU,51,"Armenia, Republic of"
NA,52,Barbados
EU,56,"Belgium, Kingdom of"
NA,60,Bermuda
AS,64,"Bhutan, Kingdom of"
SA,68,"Bolivia, Plurinational State of"
EU,70,Bosnia and Herzegovina
AF,72,"Botswana, Republic of"
AN,74,Bouvet Island (Bouvetoya)
SA,76,"Brazil, Federative Republic of"
NA,84,Belize
AF,86,British Indian Ocean Territory
OC,90,Solomon Islands
NA,92,British Virgin Islands
AS,96,"Brunei, Nation of, the Abode of Peace"
EU,100,"Bulgaria, Republic of"
AS,104,"Myanmar, Union of"
AF,108,"Burundi, Republic of"
EU,112,"Belarus, Republic of"
AS,116,"Cambodia, Kingdom of"
AF,120,"Cameroon, Republic of"
NA,124,Canada
AF,132,"Cape Verde, Republic of"
NA,136,Cayman Islands
AF,140,Central African Republic
AS,144,"Sri Lanka, Democratic Socialist Republic of"
AF,148,"Chad, Republic of"
SA,152,"Chile, Republic of"
AS,156,"China, People's Republic of"
AS,158,Taiwan
AS,162,Christmas Island
AS,166,Cocos (Keeling) Islands
SA,170,"Colombia, Republic of"
AF,174,"Comoros, Union of the"
AF,175,"Mayotte, Department of"
AF,178,"Congo, Republic of the"
AF,180,"Congo, Democratic Republic of the"
OC,184,Cook Islands
NA,188,"Costa Rica, Republic of"
EU,191,"Croatia, Republic of"
NA,192,"Cuba, Republic of"
AS,196,"Cyprus, Republic of"
EU,196,"Cyprus, Republic of"
EU,203,Czech Republic
AF,204,"Benin, Republic of"
EU,208,"Denmark, Kingdom of"
NA,212,"Dominica, Commonwealth of"
